************************************************************************************************************************************************************************************************************
*    Row   *      nstb *      chan *       row *       col *        pp *     pprow *     ppcol *   qtcrate *    qtslot *    qtcard *    qtchan *   hvboard *    hvchip *    hvchan * hvaddress * cell_type *
*      830 *         3 *        43 *         3 *         6 *         1 *         4 *        10 *         3 *         2 *         3 *         2 *         2 *         0 *         1 *        EA * small_yal *
*      831 *         3 *        44 *         3 *         7 *         1 *         4 *         9 *         3 *         2 *         3 *         3 *         2 *         0 *         1 *        EE * small_yal *
*      832 *         3 *        45 *         3 *         8 *         1 *         4 *         8 *         3 *         2 *         3 *         4 *         2 *         0 *         1 *        F2 * small_yal *
*      833 *         3 *        46 *         3 *         9 *         1 *         4 *         7 *         3 *         2 *         3 *         5 *         2 *         0 *         1 *        F6 * small_yal *
*      834 *         3 *        47 *         3 *        10 *         1 *         4 *         6 *         3 *         2 *         3 *         6 *         2 *         0 *         1 *        FA * small_yal *
*      835 *         3 *        48 *         3 *        11 *         1 *         4 *         5 *         3 *         2 *         3 *         7 *         2 *         0 *         1 *        FE * small_yal *
*      836 *         3 *        49 *         4 *         0 *         1 *         5 *        16 *         3 *         1 *         0 *         2 *         2 *         3 *         1 *        EA * small_rus *
*      837 *         3 *        50 *         4 *         1 *         1 *         5 *        15 *         3 *         1 *         1 *         2 *         2 *         3 *         1 *        F2 * small_rus *
*      838 *         3 *        51 *         4 *         2 *         1 *         5 *        14 *         3 *         1 *         2 *         2 *         2 *         3 *         1 *        F8 * small_rus *
*      839 *         3 *        52 *         4 *         3 *         1 *         5 *        13 *         3 *         1 *         3 *         2 *         2 *         3 *         1 *        FE * small_rus *
*      840 *         3 *        53 *         4 *         4 *         1 *         5 *        12 *         3 *         3 *         0 *         0 *         2 *         0 *         2 *        E0 * small_yal *
*      841 *         3 *        54 *         4 *         5 *         1 *         5 *        11 *         3 *         3 *         0 *         1 *         2 *         0 *         2 *        E4 * small_yal *
*      842 *         3 *        55 *         4 *         6 *         1 *         5 *        10 *         3 *         3 *         0 *         2 *         2 *         0 *         2 *        E8 * small_yal *
