************************************************************************************************************************************************************************************************************
*    Row   *      nstb *      chan *       row *       col *        pp *     pprow *     ppcol *   qtcrate *    qtslot *    qtcard *    qtchan *   hvboard *    hvchip *    hvchan * hvaddress * cell_type *
*      972 *         3 *       235 *        19 *         6 *         2 *        16 *        10 *         4 *         3 *         0 *         2 *         2 *         1 *         1 *        F4 * small_yal *
*      973 *         3 *       236 *        19 *         7 *         2 *        16 *         9 *         4 *         3 *         0 *         3 *         2 *         1 *         1 *        F0 * small_yal *
*      974 *         3 *       237 *        19 *         8 *         2 *        16 *         8 *         4 *         3 *         0 *         4 *         2 *         1 *         1 *        EC * small_yal *
*      975 *         3 *       238 *        19 *         9 *         2 *        16 *         7 *         4 *         3 *         0 *         5 *         2 *         1 *         1 *        E8 * small_yal *
*      976 *         3 *       239 *        19 *        10 *         2 *        16 *         6 *         4 *         3 *         0 *         6 *         2 *         1 *         1 *        E4 * small_yal *
*      977 *         3 *       240 *        19 *        11 *         2 *        16 *         5 *         4 *         3 *         0 *         7 *         2 *         1 *         1 *        E0 * small_yal *
*      978 *         3 *       241 *        20 *         0 *         2 *        17 *        16 *         4 *         1 *         0 *         3 *         2 *         2 *         0 *        E6 * small_rus *
*      979 *         3 *       242 *        20 *         1 *         2 *        17 *        15 *         4 *         1 *         1 *         3 *         2 *         2 *         0 *        EE * small_rus *
*      980 *         3 *       243 *        20 *         2 *         2 *        17 *        14 *         4 *         1 *         2 *         3 *         2 *         2 *         0 *        F6 * small_rus *
*      981 *         3 *       244 *        20 *         3 *         2 *        17 *        13 *         4 *         1 *         3 *         3 *         2 *         2 *         0 *        FE * small_rus *
*      982 *         3 *       245 *        20 *         4 *         2 *        17 *        12 *         4 *         2 *         3 *         0 *         2 *         1 *         2 *        FE * small_yal *
*      983 *         3 *       246 *        20 *         5 *         2 *        17 *        11 *         4 *         2 *         3 *         1 *         2 *         1 *         2 *        FA * small_yal *
*      984 *         3 *       247 *        20 *         6 *         2 *        17 *        10 *         4 *         2 *         3 *         2 *         2 *         1 *         2 *        F6 * small_yal *
*      985 *         3 *       248 *        20 *         7 *         2 *        17 *         9 *         4 *         2 *         3 *         3 *         2 *         1 *         2 *        F2 * small_yal *
*      986 *         3 *       249 *        20 *         8 *         2 *        17 *         8 *         4 *         2 *         3 *         4 *         2 *         1 *         2 *        EE * small_yal *
*      987 *         3 *       250 *        20 *         9 *         2 *        17 *         7 *         4 *         2 *         3 *         5 *         2 *         1 *         2 *        EA * small_yal *
*      988 *         3 *       251 *        20 *        10 *         2 *        17 *         6 *         4 *         2 *         3 *         6 *         2 *         1 *         2 *        E6 * small_yal *
*      989 *         3 *       252 *        20 *        11 *         2 *        17 *         5 *         4 *         2 *         3 *         7 *         2 *         1 *         2 *        E2 * small_yal *
*      990 *         3 *       253 *        21 *         0 *         2 *        18 *        16 *         4 *         1 *         0 *         4 *         2 *         2 *         0 *        E4 * small_rus *
*      991 *         3 *       254 *        21 *         1 *         2 *        18 *        15 *         4 *         1 *         1 *         4 *         2 *         2 *         0 *        EC * small_rus *
*      992 *         3 *       255 *        21 *         2 *         2 *        18 *        14 *         4 *         1 *         2 *         4 *         2 *         2 *         0 *        F4 * small_rus *
*      993 *         3 *       256 *        21 *         3 *         2 *        18 *        13 *         4 *         1 *         3 *         4 *         2 *         2 *         0 *        FC * small_rus *
*      994 *         3 *       257 *        21 *         4 *         2 *        18 *        12 *         4 *         2 *         2 *         0 *         2 *         1 *         2 *        FC * small_yal *
*      995 *         3 *       258 *        21 *         5 *         2 *        18 *        11 *         4 *         2 *         2 *         1 *         2 *         1 *         2 *        F8 * small_yal *
*      996 *         3 *       259 *        21 *         6 *         2 *        18 *        10 *         4 *         2 *         2 *         2 *         2 *         1 *         2 *        F0 * small_yal *
*      997 *         3 *       260 *        21 *         7 *         2 *        18 *         9 *         4 *         2 *         2 *         3 *         2 *         1 *         2 *        F4 * small_yal *
*      998 *         3 *       261 *        21 *         8 *         2 *        18 *         8 *         4 *         2 *         2 *         4 *         2 *         1 *         2 *        EC * small_yal *
*      999 *         3 *       262 *        21 *         9 *         2 *        18 *         7 *         4 *         2 *         2 *         5 *         2 *         1 *         2 *        E8 * small_yal *
*     1000 *         3 *       263 *        21 *        10 *         2 *        18 *         6 *         4 *         2 *         2 *         6 *         2 *         1 *         2 *        E0 * small_yal *
*     1001 *         3 *       264 *        21 *        11 *         2 *        18 *         5 *         4 *         2 *         2 *         7 *         2 *         1 *         2 *        E4 * small_yal *
*     1002 *         3 *       265 *        22 *         0 *         2 *        19 *        16 *         4 *         1 *         0 *         5 *         2 *         2 *         0 *        E2 * small_rus *
*     1003 *         3 *       266 *        22 *         1 *         2 *        19 *        15 *         4 *         1 *         1 *         5 *         2 *         2 *         0 *        EA * small_rus *
*     1004 *         3 *       267 *        22 *         2 *         2 *        19 *        14 *         4 *         1 *         2 *         5 *         2 *         2 *         0 *        F2 * small_rus *
*     1005 *         3 *       268 *        22 *         3 *         2 *        19 *        13 *         4 *         1 *         3 *         5 *         2 *         2 *         0 *        FA * small_rus *
*     1006 *         3 *       269 *        22 *         4 *         2 *        19 *        12 *         4 *         2 *         1 *         0 *         2 *         1 *         3 *        FE * small_yal *
*     1007 *         3 *       270 *        22 *         5 *         2 *        19 *        11 *         4 *         2 *         1 *         1 *         2 *         1 *         3 *        FA * small_yal *
*     1008 *         3 *       271 *        22 *         6 *         2 *        19 *        10 *         4 *         2 *         1 *         2 *         2 *         1 *         3 *        F6 * small_yal *
*     1009 *         3 *       272 *        22 *         7 *         2 *        19 *         9 *         4 *         2 *         1 *         3 *         2 *         1 *         3 *        F2 * small_yal *
*     1010 *         3 *       273 *        22 *         8 *         2 *        19 *         8 *         4 *         2 *         1 *         4 *         2 *         1 *         3 *        EE * small_yal *
*     1011 *         3 *       274 *        22 *         9 *         2 *        19 *         7 *         4 *         2 *         1 *         5 *         2 *         1 *         3 *        EA * small_yal *
*     1012 *         3 *       275 *        22 *        10 *         2 *        19 *         6 *         4 *         2 *         1 *         6 *         2 *         1 *         3 *        E6 * small_yal *
*     1013 *         3 *       276 *        22 *        11 *         2 *        19 *         5 *         4 *         2 *         1 *         7 *         2 *         1 *         3 *        E2 * small_yal *
*     1014 *         3 *       277 *        23 *         0 *         2 *        20 *        16 *         4 *         1 *         0 *         6 *         2 *         2 *         0 *        E0 * small_rus *
*     1015 *         3 *       278 *        23 *         1 *         2 *        20 *        15 *         4 *         1 *         1 *         6 *         2 *         2 *         0 *        E8 * small_rus *
*     1016 *         3 *       279 *        23 *         2 *         2 *        20 *        14 *         4 *         1 *         2 *         6 *         2 *         2 *         0 *        F0 * small_rus *
*     1017 *         3 *       280 *        23 *         3 *         2 *        20 *        13 *         4 *         1 *         3 *         6 *         2 *         2 *         0 *        F8 * small_rus *
*     1018 *         3 *       281 *        23 *         4 *         2 *        20 *        12 *         4 *         2 *         0 *         0 *         2 *         1 *         3 *        FC * small_yal *
*     1019 *         3 *       282 *        23 *         5 *         2 *        20 *        11 *         4 *         2 *         0 *         1 *         2 *         1 *         3 *        F8 * small_yal *
*     1020 *         3 *       283 *        23 *         6 *         2 *        20 *        10 *         4 *         2 *         0 *         2 *         2 *         1 *         3 *        F4 * small_yal *
*     1021 *         3 *       284 *        23 *         7 *         2 *        20 *         9 *         4 *         2 *         0 *         3 *         2 *         1 *         3 *        F0 * small_yal *
*     1022 *         3 *       285 *        23 *         8 *         2 *        20 *         8 *         4 *         2 *         0 *         4 *         2 *         1 *         3 *        EC * small_yal *
*     1023 *         3 *       286 *        23 *         9 *         2 *        20 *         7 *         4 *         2 *         0 *         5 *         2 *         1 *         3 *        E8 * small_yal *
*     1024 *         3 *       287 *        23 *        10 *         2 *        20 *         6 *         4 *         2 *         0 *         6 *         2 *         1 *         3 *        E4 * small_yal *
*     1025 *         3 *       288 *        23 *        11 *         2 *        20 *         5 *         4 *         2 *         0 *         7 *         2 *         1 *         3 *        E0 * small_yal *
*     1026 *         4 *         1 *         0 *         0 *         1 *         1 *        16 *         1 *         1 *         0 *         6 *         1 *         0 *         0 *        E0 * small_rus *
*     1027 *         4 *         2 *         0 *         1 *         1 *         1 *        15 *         1 *         1 *         1 *         6 *         1 *         0 *         0 *        E2 * small_rus *
*     1028 *         4 *         3 *         0 *         2 *         1 *         1 *        14 *         1 *         1 *         2 *         6 *         1 *         0 *         0 *        E4 * small_rus *
*     1029 *         4 *         4 *         0 *         3 *         1 *         1 *        13 *         1 *         1 *         3 *         6 *         1 *         0 *         0 *        E6 * small_rus *
*     1030 *         4 *         5 *         0 *         4 *         1 *         1 *        12 *         1 *         2 *         0 *         0 *         1 *         3 *         3 *        FC * small_yal *
*     1031 *         4 *         6 *         0 *         5 *         1 *         1 *        11 *         1 *         2 *         0 *         1 *         1 *         3 *         3 *        F8 * small_yal *
*     1032 *         4 *         7 *         0 *         6 *         1 *         1 *        10 *         1 *         2 *         0 *         2 *         1 *         3 *         3 *        F4 * small_yal *
*     1033 *         4 *         8 *         0 *         7 *         1 *         1 *         9 *         1 *         2 *         0 *         3 *         1 *         3 *         3 *        F0 * small_yal *
*     1034 *         4 *         9 *         0 *         8 *         1 *         1 *         8 *         1 *         2 *         0 *         4 *         1 *         3 *         3 *        EC * small_yal *
*     1035 *         4 *        10 *         0 *         9 *         1 *         1 *         7 *         1 *         2 *         0 *         5 *         1 *         3 *         3 *        E8 * small_yal *
*     1036 *         4 *        11 *         0 *        10 *         1 *         1 *         6 *         1 *         2 *         0 *         6 *         1 *         3 *         3 *        E4 * small_yal *
*     1037 *         4 *        12 *         0 *        11 *         1 *         1 *         5 *         1 *         2 *         0 *         7 *         1 *         3 *         3 *        E0 * small_yal *
*     1038 *         4 *        13 *         1 *         0 *         1 *         2 *        16 *         1 *         1 *         0 *         5 *         1 *         0 *         0 *        E8 * small_rus *
*     1039 *         4 *        14 *         1 *         1 *         1 *         2 *        15 *         1 *         1 *         1 *         5 *         1 *         0 *         0 *        EA * small_rus *
*     1040 *         4 *        15 *         1 *         2 *         1 *         2 *        14 *         1 *         1 *         2 *         5 *         1 *         0 *         0 *        EC * small_rus *
*     1041 *         4 *        16 *         1 *         3 *         1 *         2 *        13 *         1 *         1 *         3 *         5 *         1 *         0 *         0 *        EE * small_rus *
*     1042 *         4 *        17 *         1 *         4 *         1 *         2 *        12 *         1 *         2 *         1 *         0 *         1 *         3 *         3 *        FE * small_yal *
*     1043 *         4 *        18 *         1 *         5 *         1 *         2 *        11 *         1 *         2 *         1 *         1 *         1 *         3 *         3 *        FA * small_yal *
*     1044 *         4 *        19 *         1 *         6 *         1 *         2 *        10 *         1 *         2 *         1 *         2 *         1 *         3 *         3 *        F6 * small_yal *
*     1045 *         4 *        20 *         1 *         7 *         1 *         2 *         9 *         1 *         2 *         1 *         3 *         1 *         3 *         3 *        F2 * small_yal *
*     1046 *         4 *        21 *         1 *         8 *         1 *         2 *         8 *         1 *         2 *         1 *         4 *         1 *         3 *         3 *        EE * small_yal *
*     1047 *         4 *        22 *         1 *         9 *         1 *         2 *         7 *         1 *         2 *         1 *         5 *         1 *         3 *         3 *        EA * small_yal *
*     1048 *         4 *        23 *         1 *        10 *         1 *         2 *         6 *         1 *         2 *         1 *         6 *         1 *         3 *         3 *        E6 * small_yal *
*     1049 *         4 *        24 *         1 *        11 *         1 *         2 *         5 *         1 *         2 *         1 *         7 *         1 *         3 *         3 *        E2 * small_yal *
*     1050 *         4 *        25 *         2 *         0 *         1 *         3 *        16 *         1 *         1 *         0 *         4 *         1 *         0 *         0 *        F0 * small_rus *
*     1051 *         4 *        26 *         2 *         1 *         1 *         3 *        15 *         1 *         1 *         1 *         4 *         1 *         0 *         0 *        F2 * small_rus *
*     1052 *         4 *        27 *         2 *         2 *         1 *         3 *        14 *         1 *         1 *         2 *         4 *         1 *         0 *         0 *        F4 * small_rus *
*     1053 *         4 *        28 *         2 *         3 *         1 *         3 *        13 *         1 *         1 *         3 *         4 *         1 *         0 *         0 *        F6 * small_rus *
*     1054 *         4 *        29 *         2 *         4 *         1 *         3 *        12 *         1 *         2 *         2 *         0 *         1 *         3 *         2 *        FC * small_yal *
*     1055 *         4 *        30 *         2 *         5 *         1 *         3 *        11 *         1 *         2 *         2 *         1 *         1 *         3 *         2 *        F8 * small_yal *
*     1056 *         4 *        31 *         2 *         6 *         1 *         3 *        10 *         1 *         2 *         2 *         2 *         1 *         3 *         2 *        F4 * small_yal *
*     1057 *         4 *        32 *         2 *         7 *         1 *         3 *         9 *         1 *         2 *         2 *         3 *         1 *         3 *         2 *        F0 * small_yal *
*     1058 *         4 *        33 *         2 *         8 *         1 *         3 *         8 *         1 *         2 *         2 *         4 *         1 *         3 *         2 *        EC * small_yal *
*     1059 *         4 *        34 *         2 *         9 *         1 *         3 *         7 *         1 *         2 *         2 *         5 *         1 *         3 *         2 *        E8 * small_yal *
*     1060 *         4 *        35 *         2 *        10 *         1 *         3 *         6 *         1 *         2 *         2 *         6 *         1 *         3 *         2 *        E4 * small_yal *
*     1061 *         4 *        36 *         2 *        11 *         1 *         3 *         5 *         1 *         2 *         2 *         7 *         1 *         3 *         2 *        E0 * small_yal *
*     1062 *         4 *        37 *         3 *         0 *         1 *         4 *        16 *         1 *         1 *         0 *         3 *         1 *         0 *         0 *        F8 * small_rus *
*     1063 *         4 *        38 *         3 *         1 *         1 *         4 *        15 *         1 *         1 *         1 *         3 *         1 *         0 *         0 *        FA * small_rus *
*     1064 *         4 *        39 *         3 *         2 *         1 *         4 *        14 *         1 *         1 *         2 *         3 *         1 *         0 *         0 *        FC * small_rus *
*     1065 *         4 *        40 *         3 *         3 *         1 *         4 *        13 *         1 *         1 *         3 *         3 *         1 *         0 *         0 *        FE * small_rus *
*     1066 *         4 *        41 *         3 *         4 *         1 *         4 *        12 *         1 *         2 *         3 *         0 *         1 *         3 *         2 *        FE * small_yal *
*     1067 *         4 *        42 *         3 *         5 *         1 *         4 *        11 *         1 *         2 *         3 *         1 *         1 *         3 *         2 *        FA * small_yal *
*     1068 *         4 *        43 *         3 *         6 *         1 *         4 *        10 *         1 *         2 *         3 *         2 *         1 *         3 *         2 *        F6 * small_yal *
*     1069 *         4 *        44 *         3 *         7 *         1 *         4 *         9 *         1 *         2 *         3 *         3 *         1 *         3 *         2 *        F2 * small_yal *
*     1070 *         4 *        45 *         3 *         8 *         1 *         4 *         8 *         1 *         2 *         3 *         4 *         1 *         3 *         2 *        EE * small_yal *
*     1071 *         4 *        46 *         3 *         9 *         1 *         4 *         7 *         1 *         2 *         3 *         5 *         1 *         3 *         2 *        EA * small_yal *
*     1072 *         4 *        47 *         3 *        10 *         1 *         4 *         6 *         1 *         2 *         3 *         6 *         1 *         3 *         2 *        E6 * small_yal *
*     1073 *         4 *        48 *         3 *        11 *         1 *         4 *         5 *         1 *         2 *         3 *         7 *         1 *         3 *         2 *        E2 * small_yal *
*     1074 *         4 *        49 *         4 *         0 *         1 *         5 *        16 *         1 *         1 *         0 *         2 *         1 *         0 *         1 *        EA * small_rus *
*     1075 *         4 *        50 *         4 *         1 *         1 *         5 *        15 *         1 *         1 *         1 *         2 *         1 *         0 *         1 *        F2 * small_rus *
*     1076 *         4 *        51 *         4 *         2 *         1 *         5 *        14 *         1 *         1 *         2 *         2 *         1 *         0 *         1 *        F8 * small_rus *
*     1077 *         4 *        52 *         4 *         3 *         1 *         5 *        13 *         1 *         1 *         3 *         2 *         1 *         0 *         1 *        FE * small_rus *
*     1078 *         4 *        53 *         4 *         4 *         1 *         5 *        12 *         1 *         3 *         0 *         0 *         1 *         3 *         1 *        FC * small_yal *
*     1079 *         4 *        54 *         4 *         5 *         1 *         5 *        11 *         1 *         3 *         0 *         1 *         1 *         3 *         1 *        F8 * small_yal *
*     1080 *         4 *        55 *         4 *         6 *         1 *         5 *        10 *         1 *         3 *         0 *         2 *         1 *         3 *         1 *        F4 * small_yal *
*     1081 *         4 *        56 *         4 *         7 *         1 *         5 *         9 *         1 *         3 *         0 *         3 *         1 *         3 *         1 *        F0 * small_yal *
*     1082 *         4 *        57 *         4 *         8 *         1 *         5 *         8 *         1 *         3 *         0 *         4 *         1 *         3 *         1 *        EC * small_yal *
*     1083 *         4 *        58 *         4 *         9 *         1 *         5 *         7 *         1 *         3 *         0 *         5 *         1 *         3 *         1 *        E8 * small_yal *
*     1084 *         4 *        59 *         4 *        10 *         1 *         5 *         6 *         1 *         3 *         0 *         6 *         1 *         3 *         1 *        E4 * small_yal *
*     1085 *         4 *        60 *         4 *        11 *         1 *         5 *         5 *         1 *         3 *         0 *         7 *         1 *         3 *         1 *        E0 * small_yal *
*     1086 *         4 *        61 *         5 *         0 *         1 *         6 *        16 *         1 *         1 *         0 *         1 *         1 *         0 *         1 *        E6 * small_rus *
*     1087 *         4 *        62 *         5 *         1 *         1 *         6 *        15 *         1 *         1 *         1 *         1 *         1 *         0 *         1 *        F0 * small_rus *
*     1088 *         4 *        63 *         5 *         2 *         1 *         6 *        14 *         1 *         1 *         2 *         1 *         1 *         0 *         1 *        F6 * small_rus *
*     1089 *         4 *        64 *         5 *         3 *         1 *         6 *        13 *         1 *         1 *         3 *         1 *         1 *         0 *         1 *        FC * small_rus *
*     1090 *         4 *        65 *         5 *         4 *         1 *         6 *        12 *         1 *         3 *         1 *         0 *         1 *         3 *         1 *        FE * small_yal *
*     1091 *         4 *        66 *         5 *         5 *         1 *         6 *        11 *         1 *         3 *         1 *         1 *         1 *         3 *         1 *        FA * small_yal *
*     1092 *         4 *        67 *         5 *         6 *         1 *         6 *        10 *         1 *         3 *         1 *         2 *         1 *         3 *         1 *        F6 * small_yal *
*     1093 *         4 *        68 *         5 *         7 *         1 *         6 *         9 *         1 *         3 *         1 *         3 *         1 *         3 *         1 *        F2 * small_yal *
*     1094 *         4 *        69 *         5 *         8 *         1 *         6 *         8 *         1 *         3 *         1 *         4 *         1 *         3 *         1 *        EE * small_yal *
*     1095 *         4 *        70 *         5 *         9 *         1 *         6 *         7 *         1 *         3 *         1 *         5 *         1 *         3 *         1 *        EA * small_yal *
*     1096 *         4 *        71 *         5 *        10 *         1 *         6 *         6 *         1 *         3 *         1 *         6 *         1 *         3 *         1 *        E6 * small_yal *
*     1097 *         4 *        72 *         5 *        11 *         1 *         6 *         5 *         1 *         3 *         1 *         7 *         1 *         3 *         1 *        E2 * small_yal *
*     1098 *         4 *        73 *         6 *         0 *         1 *        11 *         8 *         1 *         1 *         0 *         0 *         1 *         0 *         1 *        E4 * small_rus *
*     1099 *         4 *        74 *         6 *         1 *         1 *        10 *         5 *         1 *         1 *         1 *         0 *         1 *         0 *         1 *        EE * small_rus *
*     1100 *         4 *        75 *         6 *         2 *         1 *        10 *         6 *         1 *         1 *         2 *         0 *         1 *         0 *         1 *        F4 * small_rus *
*     1101 *         4 *        76 *         6 *         3 *         1 *        10 *         7 *         1 *         1 *         3 *         0 *         1 *         0 *         1 *        FA * small_rus *
*     1102 *         4 *        77 *         6 *         4 *         1 *        10 *         8 *         1 *         3 *         2 *         0 *         1 *         3 *         0 *        FC * small_yal *
*     1103 *         4 *        78 *         6 *         5 *         1 *        10 *         9 *         1 *         3 *         2 *         1 *         1 *         3 *         0 *        F8 * small_yal *
*     1104 *         4 *        79 *         6 *         6 *         1 *         7 *         8 *         1 *         3 *         2 *         2 *         1 *         3 *         0 *        F4 * small_yal *
*     1105 *         4 *        80 *         6 *         7 *         1 *         7 *         9 *         1 *         3 *         2 *         3 *         1 *         3 *         0 *        F0 * small_yal *
*     1106 *         4 *        81 *         6 *         8 *         1 *         7 *        10 *         1 *         3 *         2 *         4 *         1 *         3 *         0 *        EC * small_yal *
*     1107 *         4 *        82 *         6 *         9 *         1 *         7 *         1 *         1 *         3 *         2 *         5 *         1 *         3 *         0 *        E8 * small_yal *
*     1108 *         4 *        83 *         6 *        10 *         1 *         7 *         2 *         1 *         3 *         2 *         6 *         1 *         3 *         0 *        E4 * small_yal *
*     1109 *         4 *        84 *         6 *        11 *         1 *         7 *         3 *         1 *         3 *         2 *         7 *         1 *         3 *         0 *        E0 * small_yal *
*     1110 *         4 *        90 *         7 *         5 *         1 *         9 *         5 *         1 *         3 *         3 *         1 *         1 *         3 *         0 *        FA * small_yal *
*     1111 *         4 *        91 *         7 *         6 *         1 *         7 *        11 *         1 *         3 *         3 *         2 *         1 *         3 *         0 *        F6 * small_yal *
*     1112 *         4 *        92 *         7 *         7 *         1 *         7 *        12 *         1 *         3 *         3 *         3 *         1 *         3 *         0 *        F2 * small_yal *
*     1113 *         4 *        93 *         7 *         8 *         1 *         7 *        13 *         1 *         3 *         3 *         4 *         1 *         3 *         0 *        EE * small_yal *
*     1114 *         4 *        94 *         7 *         9 *         1 *         6 *         1 *         1 *         3 *         3 *         5 *         1 *         3 *         0 *        EA * small_yal *
*     1115 *         4 *        95 *         7 *        10 *         1 *         6 *         2 *         1 *         3 *         3 *         6 *         1 *         3 *         0 *        E6 * small_yal *
*     1116 *         4 *        96 *         7 *        11 *         1 *         6 *         3 *         1 *         3 *         3 *         7 *         1 *         3 *         0 *        E2 * small_yal *
*     1117 *         4 *       102 *         8 *         5 *         1 *         9 *         6 *         1 *         4 *         0 *         0 *         1 *         1 *         3 *        E6 * small_rus *
*     1118 *         4 *       103 *         8 *         6 *         1 *         7 *        14 *         1 *         4 *         0 *         1 *         1 *         1 *         3 *        EE * small_rus *
*     1119 *         4 *       104 *         8 *         7 *         1 *         7 *        15 *         1 *         4 *         0 *         2 *         1 *         1 *         3 *        F6 * small_rus *
*     1120 *         4 *       105 *         8 *         8 *         1 *         7 *        16 *         1 *         4 *         0 *         3 *         1 *         1 *         2 *        FE * small_rus *
*     1121 *         4 *       106 *         8 *         9 *         1 *         5 *         1 *         1 *         4 *         0 *         4 *         1 *         1 *         2 *        F6 * small_rus *
*     1122 *         4 *       107 *         8 *        10 *         1 *         5 *         2 *         1 *         4 *         0 *         5 *         1 *         1 *         2 *        EE * small_rus *
*     1123 *         4 *       108 *         8 *        11 *         1 *         5 *         3 *         1 *         4 *         0 *         6 *         1 *         1 *         2 *        E6 * small_rus *
*     1124 *         4 *       114 *         9 *         5 *         1 *         9 *         7 *         1 *         4 *         1 *         0 *         1 *         1 *         3 *        E4 * small_rus *
*     1125 *         4 *       115 *         9 *         6 *         1 *         4 *         1 *         1 *         4 *         1 *         1 *         1 *         1 *         3 *        EC * small_rus *
*     1126 *         4 *       116 *         9 *         7 *         1 *         4 *         2 *         1 *         4 *         1 *         2 *         1 *         1 *         3 *        F4 * small_rus *
*     1127 *         4 *       117 *         9 *         8 *         1 *         4 *         3 *         1 *         4 *         1 *         3 *         1 *         1 *         2 *        FC * small_rus *
*     1128 *         4 *       118 *         9 *         9 *         1 *         3 *         1 *         1 *         4 *         1 *         4 *         1 *         1 *         2 *        F4 * small_rus *
*     1129 *         4 *       119 *         9 *        10 *         1 *         3 *         2 *         1 *         4 *         1 *         5 *         1 *         1 *         2 *        EC * small_rus *
*     1130 *         4 *       120 *         9 *        11 *         1 *         3 *         3 *         1 *         4 *         1 *         6 *         1 *         1 *         2 *        E4 * small_rus *
*     1131 *         4 *       126 *        10 *         5 *         1 *         9 *         8 *         1 *         4 *         2 *         0 *         1 *         1 *         3 *        E2 * small_rus *
*     1132 *         4 *       127 *        10 *         6 *         1 *         2 *         1 *         1 *         4 *         2 *         1 *         1 *         1 *         3 *        EA * small_rus *
*     1133 *         4 *       128 *        10 *         7 *         1 *         2 *         2 *         1 *         4 *         2 *         2 *         1 *         1 *         3 *        F2 * small_rus *
*     1134 *         4 *       129 *        10 *         8 *         1 *         2 *         3 *         1 *         4 *         2 *         3 *         1 *         1 *         2 *        FA * small_rus *
*     1135 *         4 *       130 *        10 *         9 *         1 *         1 *         1 *         1 *         4 *         2 *         4 *         1 *         1 *         2 *        F2 * small_rus *
*     1136 *         4 *       131 *        10 *        10 *         1 *         1 *         2 *         1 *         4 *         2 *         5 *         1 *         1 *         2 *        EA * small_rus *
*     1137 *         4 *       132 *        10 *        11 *         1 *         1 *         3 *         1 *         4 *         2 *         6 *         1 *         1 *         2 *        E2 * small_rus *
*     1138 *         4 *       138 *        11 *         5 *         1 *         9 *         9 *         1 *         4 *         3 *         0 *         1 *         1 *         3 *        E0 * small_rus *
*     1139 *         4 *       139 *        11 *         6 *         1 *         6 *         4 *         1 *         4 *         3 *         1 *         1 *         1 *         3 *        E8 * small_rus *
*     1140 *         4 *       140 *        11 *         7 *         1 *         5 *         4 *         1 *         4 *         3 *         2 *         1 *         1 *         3 *        F0 * small_rus *
*     1141 *         4 *       141 *        11 *         8 *         1 *         4 *         4 *         1 *         4 *         3 *         3 *         1 *         1 *         2 *        F8 * small_rus *
*     1142 *         4 *       142 *        11 *         9 *         1 *         3 *         4 *         1 *         4 *         3 *         4 *         1 *         1 *         2 *        F0 * small_rus *
*     1143 *         4 *       143 *        11 *        10 *         1 *         2 *         4 *         1 *         4 *         3 *         5 *         1 *         1 *         2 *        E8 * small_rus *
*     1144 *         4 *       144 *        11 *        11 *         1 *         1 *         4 *         1 *         4 *         3 *         6 *         1 *         1 *         2 *        E0 * small_rus *
*     1145 *         4 *       150 *        12 *         5 *         2 *        12 *         9 *         2 *         4 *         3 *         1 *         1 *         1 *         1 *        E0 * small_rus *
*     1146 *         4 *       151 *        12 *         6 *         2 *        15 *         4 *         2 *         4 *         3 *         2 *         1 *         1 *         1 *        E8 * small_rus *
*     1147 *         4 *       152 *        12 *         7 *         2 *        16 *         4 *         2 *         4 *         3 *         3 *         1 *         1 *         1 *        F0 * small_rus *
*     1148 *         4 *       153 *        12 *         8 *         2 *        17 *         4 *         2 *         4 *         3 *         4 *         1 *         1 *         1 *        F8 * small_rus *
*     1149 *         4 *       154 *        12 *         9 *         2 *        18 *         4 *         2 *         4 *         3 *         5 *         1 *         1 *         0 *        F8 * small_rus *
*     1150 *         4 *       155 *        12 *        10 *         2 *        19 *         4 *         2 *         4 *         3 *         6 *         1 *         1 *         0 *        E8 * small_rus *
*     1151 *         4 *       156 *        12 *        11 *         2 *        20 *         4 *         2 *         4 *         3 *         7 *         1 *         1 *         0 *        E0 * small_rus *
*     1152 *         4 *       162 *        13 *         5 *         2 *        12 *         8 *         2 *         4 *         2 *         0 *         1 *         1 *         1 *        E2 * small_rus *
*     1153 *         4 *       163 *        13 *         6 *         2 *        19 *         1 *         2 *         4 *         2 *         1 *         1 *         1 *         1 *        EA * small_rus *
*     1154 *         4 *       164 *        13 *         7 *         2 *        19 *         2 *         2 *         4 *         2 *         2 *         1 *         1 *         1 *        F2 * small_rus *
*     1155 *         4 *       165 *        13 *         8 *         2 *        19 *         3 *         2 *         4 *         2 *         3 *         1 *         1 *         1 *        FA * small_rus *
*     1156 *         4 *       166 *        13 *         9 *         2 *        20 *         1 *         2 *         4 *         2 *         4 *         1 *         1 *         0 *        FA * small_rus *
*     1157 *         4 *       167 *        13 *        10 *         2 *        20 *         2 *         2 *         4 *         2 *         5 *         1 *         1 *         0 *        EA * small_rus *
*     1158 *         4 *       168 *        13 *        11 *         2 *        20 *         3 *         2 *         4 *         2 *         6 *         1 *         1 *         0 *        E2 * small_rus *
*     1159 *         4 *       174 *        14 *         5 *         2 *        12 *         7 *         2 *         4 *         1 *         0 *         1 *         1 *         1 *        E4 * small_rus *
*     1160 *         4 *       175 *        14 *         6 *         2 *        17 *         1 *         2 *         4 *         1 *         1 *         1 *         1 *         1 *        EC * small_rus *
*     1161 *         4 *       176 *        14 *         7 *         2 *        17 *         2 *         2 *         4 *         1 *         2 *         1 *         1 *         1 *        F4 * small_rus *
*     1162 *         4 *       177 *        14 *         8 *         2 *        17 *         3 *         2 *         4 *         1 *         3 *         1 *         1 *         1 *        FC * small_rus *
